Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,My Review
"","",9780307236999,3,"","","","","",2013-10-12,"","",""
"","",9780307379108,4,"","","","","",2013-08-19,"","",""
"","",9780356501505,5,"","","","","",2012-12-16,"","",""
"","",9780802714626,2,"","","","","",2012-06-15,"","",""
"","",9780450043772,4,"","","","","",2012-02-01,"","",""
"","",9781857231465,5,"","","","","",2011-10-01,"","",""
"","",9780312856847,1,"","","","","",2010-04-17,"","",""
"","",9780321344755,0,"","","","","",2010-04-15,"","",""
"","",9781844131952,3,"","","","","",2006-12-19,"","",""
"","",9780739481325,5,"","","","","",2006-10-12,"","",""
"","",9780743220125,5,"","","","","",2006-05-01,"","",""
"","",9780553374599,2,"","","","","",2003-12-22,"","",""
"","",9788700994713,5,"","","","","",2003-08-09,"","",""
"","",1857231856,5,"","","","","",2003-06-21,"","",""
"","",9781857231465,5,"","","","","",2003-01-21,"","",""
"","",9781582342276,4,"","","","","",2002-12-07,"","",""
"","",9780671833213,5,"","","","","",2002-11-30,"","",""
"","",9780345339737,5,"","","","","",2002-05-06,"","",""
"","",9781417700929,3,"","","","","",2001-12-25,"","",""
"","",9780618346257,5,"","","","","",2001-10-01,"","",""
"","",9781860499265,0,"","","","","",2001-08-27,"","",""
"","",9781407035192,3,"","","","","",2001-01-21,"","",""
"","",9780756754730,5,"","","","","",2000-09-20,"","",""
"","",9780812550757,1,"","","","","",1999-09-01,"","",""
"","",9780312853235,4,"","","","","",1999-08-25,"","",""
"","",9780671833213,5,"","","","","",1999-08-01,"","",""
"","",9780061806636,3,"","","","","",1999-02-20,"","",""
"","",1404302433,4,"","","","","",1999-01-20,"","",""
"","",9780670857784,0,"","","","","",1998-10-26,"","",""
"","",9780712651066,0,"","","","","",1998-09-17,"","",""
"","",9781870886123,4,"","","","","",1998-09-01,"","",""
"","",9781590302613,3,"","","","","",1998-07-21,"","",""
"","",9780312064884,0,"","","","","",1998-08-06,"","",""
"","",9780525444442,0,"","","","","",1997-11-17,"","",""
"","",9787536671805,4,"","","","","",1997-10-26,"","",""
"","",9780385289405,4,"","","","","",1997-10-25,"","",""
"","",9780671618216,0,"","","","","",1997-07-01,"","",""
"","",9780099285045,3,"","","","","",1997-06-07,"","",""
"","",9780380715435,4,"","","","","",1997-04-12,"","",""
"","",9785557082655,5,"","","","","",1997-02-08,"","",""
"","",9781857992915,5,"","","","","",1996-12-02,"","",""
"","",9780140085020,3,"","","","","",1996-11-22,"","",""
"","",4400695622,2,"","","","","",1996-10-10,"","",""
"","",9780330233460,2,"","","","","",1996-09-16,"","",""
"","",9780393333022,0,"","","","","",1996-07-13,"","",""
"","",9990458359,4,"","","","","",1995-05-05,"","",""
"","",9780202120003,3,"","","","","",1995-07-13,"","",""
"","",8700566640,3,"","","","","",1994-09-01,"","",""
"","",9780671833213,5,"","","","","",1994-07-20,"","",""
"","",1101001925,3,"","","","","",1994-06-25,"","",""
"","",9780679443780,0,"","","","","",2002-07-24,"","",""
